date,net_pnl,equity,peak,drawdown
2020-01-16,4766.25,304766.25,304766.25,0.00
2020-02-06,18637.50,323403.75,323403.75,0.00
2020-02-20,-588.75,322815.00,323403.75,588.75
2020-03-05,16436.25,339251.25,339251.25,0.00
2020-03-12,-72596.25,266655.00,339251.25,72596.25
2020-03-26,52815.00,319470.00,339251.25,19781.25
2020-04-01,11823.75,331293.75,339251.25,7957.50
2020-04-09,-28683.75,302610.00,339251.25,36641.25
2020-04-16,24345.00,326955.00,339251.25,12296.25
2020-04-23,26842.50,353797.50,353797.50,0.00
2020-04-30,-22350.00,331447.50,353797.50,22350.00
2020-05-07,9337.50,340785.00,353797.50,13012.50
2020-05-14,6071.25,346856.25,353797.50,6941.25
2020-05-21,27900.00,374756.25,374756.25,0.00
2020-05-28,-15288.75,359467.50,374756.25,15288.75
2020-06-11,2587.50,362055.00,374756.25,12701.25
2020-06-18,-3922.50,358132.50,374756.25,16623.75
2020-06-25,17516.25,375648.75,375648.75,0.00
2020-07-09,5707.50,381356.25,381356.25,0.00
2020-07-16,13687.50,395043.75,395043.75,0.00
2020-07-23,-11163.75,383880.00,395043.75,11163.75
2020-08-06,8261.25,392141.25,395043.75,2902.50
2020-08-20,12630.00,404771.25,404771.25,0.00
2020-08-27,3543.75,408315.00,408315.00,0.00
2020-09-03,9761.25,418076.25,418076.25,0.00
2020-09-10,9412.50,427488.75,427488.75,0.00
2020-09-17,10320.00,437808.75,437808.75,0.00
2020-09-24,-39821.25,397987.50,437808.75,39821.25
2020-10-01,-17291.25,380696.25,437808.75,57112.50
2020-10-15,7121.25,387817.50,437808.75,49991.25
2020-10-22,9641.25,397458.75,437808.75,40350.00
2020-10-29,-1485.00,395973.75,437808.75,41835.00
2020-11-05,-3592.50,392381.25,437808.75,45427.50
2020-11-12,-20141.25,372240.00,437808.75,65568.75
2020-11-19,9952.50,382192.50,437808.75,55616.25
2020-11-26,3701.25,385893.75,437808.75,51915.00
2020-12-03,10661.25,396555.00,437808.75,41253.75
2020-12-10,-1818.75,394736.25,437808.75,43072.50
2020-12-17,3843.75,398580.00,437808.75,39228.75
2020-12-24,17145.00,415725.00,437808.75,22083.75
2020-12-31,4725.00,420450.00,437808.75,17358.75
2021-01-07,8786.25,429236.25,437808.75,8572.50
2021-01-14,-5625.00,423611.25,437808.75,14197.50
2021-01-21,23295.00,446906.25,446906.25,0.00
2021-01-28,-34796.25,412110.00,446906.25,34796.25
2021-02-04,-38891.25,373218.75,446906.25,73687.50
2021-02-18,11137.50,384356.25,446906.25,62550.00
2021-02-25,19522.50,403878.75,446906.25,43027.50
2021-03-04,11448.75,415327.50,446906.25,31578.75
2021-03-10,18622.50,433950.00,446906.25,12956.25
2021-03-18,-29028.75,404921.25,446906.25,41985.00
2021-03-25,28875.00,433796.25,446906.25,13110.00
2021-04-01,-1492.50,432303.75,446906.25,14602.50
2021-04-08,13455.00,445758.75,446906.25,1147.50
2021-04-15,6761.25,452520.00,452520.00,0.00
2021-04-22,10803.75,463323.75,463323.75,0.00
2021-04-29,-8666.25,454657.50,463323.75,8666.25
2021-05-06,25811.25,480468.75,480468.75,0.00
2021-05-12,7788.75,488257.50,488257.50,0.00
2021-05-20,7717.50,495975.00,495975.00,0.00
2021-05-27,-3000.00,492975.00,495975.00,3000.00
2021-06-03,1627.50,494602.50,495975.00,1372.50
2021-06-10,13001.25,507603.75,507603.75,0.00
2021-06-17,8047.50,515651.25,515651.25,0.00
2021-06-24,9772.50,525423.75,525423.75,0.00
2021-07-08,12450.00,537873.75,537873.75,0.00
2021-07-22,1957.50,539831.25,539831.25,0.00
2021-07-29,8025.00,547856.25,547856.25,0.00
2021-08-05,-21941.25,525915.00,547856.25,21941.25
2021-08-12,9611.25,535526.25,547856.25,12330.00
2021-08-18,1860.00,537386.25,547856.25,10470.00
2021-08-26,1710.00,539096.25,547856.25,8760.00
2021-09-02,-27337.50,511758.75,547856.25,36097.50
2021-09-09,11595.00,523353.75,547856.25,24502.50
2021-09-16,-5760.00,517593.75,547856.25,30262.50
2021-09-23,7500.00,525093.75,547856.25,22762.50
2021-09-30,-2081.25,523012.50,547856.25,24843.75
2021-10-07,3815.00,526827.50,547856.25,21028.75
2021-10-14,-10730.00,516097.50,547856.25,31758.75
2021-10-21,-4677.50,511420.00,547856.25,36436.25
2021-10-28,-6835.00,504585.00,547856.25,43271.25
2021-11-18,1865.00,506450.00,547856.25,41406.25
2021-11-25,6422.50,512872.50,547856.25,34983.75
2021-12-02,11832.50,524705.00,547856.25,23151.25
2021-12-09,15530.00,540235.00,547856.25,7621.25
2021-12-16,660.00,540895.00,547856.25,6961.25
2021-12-23,10090.00,550985.00,550985.00,0.00
2021-12-30,6737.50,557722.50,557722.50,0.00
2022-01-06,-7012.50,550710.00,557722.50,7012.50
2022-01-13,-5047.50,545662.50,557722.50,12060.00
2022-01-20,-4260.00,541402.50,557722.50,16320.00
2022-01-27,320.00,541722.50,557722.50,16000.00
2022-02-03,10227.50,551950.00,557722.50,5772.50
2022-02-10,12227.50,564177.50,564177.50,0.00
2022-02-17,7515.00,571692.50,571692.50,0.00
2022-02-24,-26745.00,544947.50,571692.50,26745.00
2022-03-03,21825.00,566772.50,571692.50,4920.00
2022-03-10,17160.00,583932.50,583932.50,0.00
2022-03-17,-9902.50,574030.00,583932.50,9902.50
2022-03-24,14662.50,588692.50,588692.50,0.00
2022-04-07,12442.50,601135.00,601135.00,0.00
2022-04-13,4457.50,605592.50,605592.50,0.00
2022-04-21,4635.00,610227.50,610227.50,0.00
2022-04-28,12277.50,622505.00,622505.00,0.00
2022-05-05,-13297.50,609207.50,622505.00,13297.50
2022-05-12,-9537.50,599670.00,622505.00,22835.00
2022-05-19,10995.00,610665.00,622505.00,11840.00
2022-05-26,11820.00,622485.00,622505.00,20.00
2022-06-02,4380.00,626865.00,626865.00,0.00
2022-06-09,2510.00,629375.00,629375.00,0.00
2022-06-16,-32055.00,597320.00,629375.00,32055.00
2022-06-23,10290.00,607610.00,629375.00,21765.00
2022-06-30,12920.00,620530.00,629375.00,8845.00
2022-07-07,-2442.50,618087.50,629375.00,11287.50
2022-07-14,2050.00,620137.50,629375.00,9237.50
2022-07-21,-15192.50,604945.00,629375.00,24430.00
2022-08-04,1657.50,606602.50,629375.00,22772.50
2022-08-11,5492.50,612095.00,629375.00,17280.00
2022-08-18,-1357.50,610737.50,629375.00,18637.50
2022-08-25,-7172.50,603565.00,629375.00,25810.00
2022-09-01,5160.00,608725.00,629375.00,20650.00
2022-09-08,2585.00,611310.00,629375.00,18065.00
2022-09-15,9502.50,620812.50,629375.00,8562.50
2022-09-22,8770.00,629582.50,629582.50,0.00
2022-09-29,-16857.50,612725.00,629582.50,16857.50
2022-10-06,-7050.00,605675.00,629582.50,23907.50
2022-10-13,1932.50,607607.50,629582.50,21975.00
2022-10-20,3662.50,611270.00,629582.50,18312.50
2022-11-03,1880.00,613150.00,629582.50,16432.50
2022-11-10,9360.00,622510.00,629582.50,7072.50
2022-12-22,-2430.00,620080.00,629582.50,9502.50
2023-01-12,4642.50,624722.50,629582.50,4860.00
2023-01-25,-442.50,624280.00,629582.50,5302.50
2023-02-09,3692.50,627972.50,629582.50,1610.00
2023-02-16,1955.00,629927.50,629927.50,0.00
2023-03-02,-1110.00,628817.50,629927.50,1110.00
2023-03-09,3137.50,631955.00,631955.00,0.00
2023-03-16,-8125.00,623830.00,631955.00,8125.00
2023-03-23,8125.00,631955.00,631955.00,0.00
2023-03-29,10837.50,642792.50,642792.50,0.00
2023-04-06,-5095.00,637697.50,642792.50,5095.00
2023-04-13,-700.00,636997.50,642792.50,5795.00
2023-04-27,-3825.00,633172.50,642792.50,9620.00
2023-05-04,-6262.50,626910.00,642792.50,15882.50
2023-05-18,4235.00,631145.00,642792.50,11647.50
2023-06-01,4300.00,635445.00,642792.50,7347.50
2023-07-13,6227.50,641672.50,642792.50,1120.00
2023-07-20,-13802.50,627870.00,642792.50,14922.50
2023-08-03,-1227.50,626642.50,642792.50,16150.00
2023-08-10,7715.00,634357.50,642792.50,8435.00
2023-08-17,3850.00,638207.50,642792.50,4585.00
2023-08-24,6152.50,644360.00,644360.00,0.00
2023-09-28,-2677.50,641682.50,644360.00,2677.50
2023-10-05,7745.00,649427.50,649427.50,0.00
2023-10-12,-2207.50,647220.00,649427.50,2207.50
2023-10-19,6542.50,653762.50,653762.50,0.00
2023-10-26,-23467.50,630295.00,653762.50,23467.50
2023-11-02,4025.00,634320.00,653762.50,19442.50
2023-11-16,-10685.00,623635.00,653762.50,30127.50
2023-11-23,5770.00,629405.00,653762.50,24357.50
2024-01-11,6555.00,635960.00,653762.50,17802.50
2024-01-18,192.50,636152.50,653762.50,17610.00
2024-01-25,467.50,636620.00,653762.50,17142.50
2024-02-08,3267.50,639887.50,653762.50,13875.00
2024-02-15,5762.50,645650.00,653762.50,8112.50
2024-02-22,4387.50,650037.50,653762.50,3725.00
2024-02-29,2710.00,652747.50,653762.50,1015.00
2024-03-14,-3512.50,649235.00,653762.50,4527.50
2024-03-21,10782.50,660017.50,660017.50,0.00
2024-04-04,9372.50,669390.00,669390.00,0.00
2024-04-10,72.50,669462.50,669462.50,0.00
2024-04-18,-20535.00,648927.50,669462.50,20535.00
2024-05-02,5848.75,654776.25,669462.50,14686.25
2024-05-23,-5801.25,648975.00,669462.50,20487.50
2024-06-06,11100.00,660075.00,669462.50,9387.50
2024-06-13,-1770.00,658305.00,669462.50,11157.50
2024-06-20,2291.25,660596.25,669462.50,8866.25
2024-06-27,-5580.00,655016.25,669462.50,14446.25
2024-07-04,3300.00,658316.25,669462.50,11146.25
2024-07-11,3283.75,661600.00,669462.50,7862.50
2024-07-25,4287.50,665887.50,669462.50,3575.00
2024-08-01,-5748.75,660138.75,669462.50,9323.75
2024-08-08,-9645.00,650493.75,669462.50,18968.75
2024-08-14,2812.50,653306.25,669462.50,16156.25
2024-08-22,-3295.00,650011.25,669462.50,19451.25
2024-08-29,-1041.25,648970.00,669462.50,20492.50
2024-09-05,3898.75,652868.75,669462.50,16593.75
2024-09-12,-178.75,652690.00,669462.50,16772.50
2024-09-19,5032.50,657722.50,669462.50,11740.00
2024-09-26,-9406.25,648316.25,669462.50,21146.25
2024-10-03,-16732.50,631583.75,669462.50,37878.75
2024-10-17,3871.25,635455.00,669462.50,34007.50
2024-10-24,2436.25,637891.25,669462.50,31571.25
2024-10-31,2305.00,640196.25,669462.50,29266.25
2024-11-14,-6905.00,633291.25,669462.50,36171.25
2024-11-21,1787.50,635078.75,669462.50,34383.75
2024-11-28,-9150.00,625928.75,669462.50,43533.75
2024-12-12,25121.25,651050.00,669462.50,18412.50
2024-12-19,-11505.00,639545.00,669462.50,29917.50
2024-12-26,20587.50,660132.50,669462.50,9330.00
2025-01-09,-19605.00,640527.50,669462.50,28935.00
2025-01-16,11958.75,652486.25,669462.50,16976.25
2025-01-23,26733.75,679220.00,679220.00,0.00
2025-01-30,22972.50,702192.50,702192.50,0.00
2025-02-06,33162.75,735355.25,735355.25,0.00
2025-02-13,-10391.25,724964.00,735355.25,10391.25
2025-02-20,16477.50,741441.50,741441.50,0.00
2025-02-27,-2625.00,738816.50,741441.50,2625.00
2025-03-13,11996.25,750812.75,750812.75,0.00
2025-03-27,-5508.75,745304.00,750812.75,5508.75
2025-04-09,-25556.25,719747.75,750812.75,31065.00
2025-04-24,5388.00,725135.75,750812.75,25677.00
2025-04-30,25752.00,750887.75,750887.75,0.00
2025-05-08,15660.75,766548.50,766548.50,0.00
2025-05-15,-28744.50,737804.00,766548.50,28744.50
2025-05-22,1923.75,739727.75,766548.50,26820.75
2025-05-29,20182.50,759910.25,766548.50,6638.25
2025-06-05,28065.00,787975.25,787975.25,0.00
2025-06-12,20628.75,808604.00,808604.00,0.00
2025-06-19,18213.75,826817.75,826817.75,0.00
2025-06-26,-23482.50,803335.25,826817.75,23482.50
2025-07-03,9236.25,812571.50,826817.75,14246.25
2025-07-10,20745.00,833316.50,833316.50,0.00
2025-07-17,8392.50,841709.00,841709.00,0.00
2025-07-24,15397.50,857106.50,857106.50,0.00
2025-07-31,7335.00,864441.50,864441.50,0.00
2025-08-07,13848.75,878290.25,878290.25,0.00
2025-08-21,10327.50,888617.75,888617.75,0.00
2025-09-09,-1687.50,886930.25,888617.75,1687.50
2025-12-09,3840.00,890770.25,890770.25,0.00
2025-12-16,15390.00,906160.25,906160.25,0.00
2026-01-13,-12248.75,893911.50,906160.25,12248.75
2026-01-20,-11720.50,882191.00,906160.25,23969.25
2026-02-03,-29597.25,852593.75,906160.25,53566.50
2026-02-10,10340.50,862934.25,906160.25,43226.00
2026-02-24,-2740.75,860193.50,906160.25,45966.75
2026-03-10,29577.00,889770.50,906160.25,16389.75
2026-03-17,-8717.75,881052.75,906160.25,25107.50
2026-04-28,55861.75,936914.50,936914.50,0.00
2026-05-05,-929.00,935985.50,936914.50,929.00
2026-05-19,17900.25,953885.75,953885.75,0.00
2026-05-26,3606.25,957492.00,957492.00,0.00
2026-06-02,-4395.25,953096.75,957492.00,4395.25
2026-06-09,193.75,953290.50,957492.00,4201.50
2026-06-16,-15940.50,937350.00,957492.00,20142.00
