trade_no,expiry,trade_date,status,skip_reason,capital_at_entry,spot_at_entry,spot_at_close,atm,lot_size,lots_per_leg,units_per_leg,margin_rate,margin_used,ce_strike,pe_strike,ce_entry_price,ce_exit_price,ce_exit_reason,pe_entry_price,pe_exit_price,pe_exit_reason,total_premium_points,gross_pnl,total_charges,net_pnl,remarks
1,2025-01-02,2025-01-02,TRADED,,996368.5,23765.1,24167.95,23750,65,3,195,0.2,926838.9,23850,23650,79.3,162.4,sl_2.00x,66.5,0.05,scheduled_exit,145.8,-3246.75,148.7,-3395.45,
2,2025-01-09,2025-01-09,TRADED,,1001970.82,23615.9,23557.2,23600,65,3,195,0.2,921020.1,23700,23500,23.5,0.05,scheduled_exit,21.7,0.05,scheduled_exit,45.2,8794.5,106.88,8687.62,
3,2025-01-16,2025-01-16,TRADED,,1021738.81,23326.65,23350.8,23350,65,3,195,0.2,909739.35,23450,23250,11.05,0.1,scheduled_exit,15.5,0.05,scheduled_exit,26.55,5148.0,101.74,5046.26,
4,2025-01-23,2025-01-23,TRADED,,1036308.77,23108.4,23216.3,23100,65,3,195,0.2,901227.6,23200,23000,25.9,56.95,sl_2.00x,17.0,0.05,scheduled_exit,42.9,-2749.5,111.17,-2860.67,
5,2025-01-30,2025-01-30,TRADED,,1030002.48,23155.55,23297.95,23150,65,3,195,0.2,903066.45,23250,23050,74.0,0.4,scheduled_exit,85.75,0.1,scheduled_exit,159.75,31053.75,138.51,30915.24,
6,2025-02-06,2025-02-06,TRADED,,1075656.8,23718.0,23628.05,23700,65,3,195,0.2,925002.0,23800,23600,31.0,0.05,scheduled_exit,20.05,41.4,sl_2.00x,51.05,1872.0,112.08,1759.92,
7,2025-02-13,2025-02-13,TRADED,,1080349.64,23093.5,23019.4,23100,65,3,195,0.2,900646.5,23200,23000,37.1,0.1,scheduled_exit,35.04,76.0,sl_2.00x,72.14,-772.2,120.89,-893.09,
8,2025-02-20,2025-02-20,TRADED,,1088123.11,22856.0,22906.25,22850,65,3,195,0.2,891384.0,22950,22750,37.35,0.1,scheduled_exit,26.8,0.05,scheduled_exit,64.15,12480.0,112.11,12367.89,
9,2025-02-27,2025-02-27,TRADED,,1109523.28,22583.15,22510.85,22600,65,3,195,0.2,880742.85,22700,22500,5.95,0.05,scheduled_exit,11.1,0.1,scheduled_exit,17.05,3295.5,99.12,3196.38,
10,2025-03-06,2025-03-06,TRADED,,1112484.8,22417.35,22529.2,22400,65,3,195,0.2,874276.65,22500,22300,20.0,41.05,sl_2.00x,21.0,42.35,sl_2.00x,41.0,-8268.0,112.94,-8380.94,
11,2025-03-13,2025-03-13,TRADED,,1111655.57,22479.1,22383.3,22500,65,3,195,0.2,876684.9,22600,22400,10.8,0.05,scheduled_exit,24.05,1.35,scheduled_exit,34.85,6522.75,104.13,6418.62,
12,2025-03-20,2025-03-20,TRADED,,1108636.87,23018.6,23165.7,23000,65,3,195,0.2,897725.4,23100,22900,21.5,45.6,sl_2.00x,22.2,0.05,scheduled_exit,43.7,-380.25,110.41,-490.66,
13,2025-03-27,2025-03-27,TRADED,,1086376.6,23512.6,23601.05,23500,65,3,195,0.2,916991.4,23600,23400,42.05,0.1,scheduled_exit,35.2,0.2,scheduled_exit,77.25,15005.25,115.74,14889.51,
14,2025-04-03,2025-04-03,TRADED,,1108705.1,23225.65,23241.6,23250,65,3,195,0.2,905800.35,23350,23150,10.75,0.1,scheduled_exit,33.35,0.1,scheduled_exit,44.1,8560.5,106.58,8453.92,
15,2025-04-09,2025-04-09,TRADED,,1048812.26,22439.8,22420.4,22450,65,3,195,0.2,875152.2,22550,22350,65.09,0.05,scheduled_exit,86.7,0.1,scheduled_exit,151.79,29569.8,136.28,29433.52,
16,2025-04-17,2025-04-17,TRADED,,1085045.95,23353.6,23837.75,23350,65,3,195,0.2,910790.4,23450,23250,17.3,40.65,sl_2.00x,19.1,0.05,scheduled_exit,36.4,-838.5,107.97,-946.47,
17,2025-04-24,2025-04-24,TRADED,,1090059.48,24273.85,24245.05,24250,65,3,195,0.2,946680.15,24350,24150,24.6,55.4,sl_2.00x,10.9,0.15,scheduled_exit,35.5,-3909.75,109.01,-4018.76,
18,2025-04-30,2025-04-30,TRADED,,1080514.42,24321.05,24246.25,24300,65,3,195,0.2,948520.95,24400,24200,14.55,29.25,sl_2.00x,13.05,0.2,scheduled_exit,27.6,-360.75,104.57,-465.32,
19,2025-05-08,2025-05-08,TRADED,,1089297.5,24398.65,24154.1,24400,65,3,195,0.2,951547.35,24500,24300,9.75,0.15,scheduled_exit,13.15,32.2,sl_2.00x,22.9,-1842.75,103.52,-1946.27,
20,2025-05-15,2025-05-15,TRADED,,1048856.88,24596.1,25035.3,24600,65,3,195,0.2,959247.9,24700,24500,35.6,72.8,sl_2.00x,47.15,0.05,scheduled_exit,82.75,1930.5,123.54,1806.96,
21,2025-05-22,2025-05-22,TRADED,,1055780.96,24626.05,24637.0,24650,65,3,195,0.2,960415.95,24750,24550,57.8,0.05,scheduled_exit,76.3,0.1,scheduled_exit,134.1,26120.25,131.4,25988.85,
22,2025-05-29,2025-05-29,TRADED,,1090137.79,24853.7,24880.85,24850,65,3,195,0.2,969294.3,24950,24750,35.2,0.1,scheduled_exit,23.8,50.4,sl_2.00x,59.0,1657.5,115.05,1542.45,
23,2025-06-05,2025-06-05,TRADED,,1101185.73,24631.5,24761.1,24650,65,3,195,0.2,960628.5,24750,24550,18.45,39.65,sl_2.00x,23.35,0.1,scheduled_exit,41.8,399.75,109.38,290.37,
24,2025-06-12,2025-06-12,TRADED,,1110923.04,25170.15,24856.0,25150,65,3,195,0.2,981635.85,25250,25050,25.5,0.1,scheduled_exit,19.75,46.9,sl_2.00x,45.25,-341.25,110.95,-452.2,
25,2025-06-19,2025-06-19,TRADED,,1119383.49,24747.7,24744.7,24750,65,3,195,0.2,965160.3,24850,24650,23.25,0.1,scheduled_exit,26.95,0.1,scheduled_exit,50.2,9750.0,108.26,9641.74,
26,2025-06-26,2025-06-26,TRADED,,1117466.62,25306.05,25530.4,25300,65,3,195,0.2,986935.95,25400,25200,27.85,60.1,sl_2.00x,21.75,0.15,scheduled_exit,49.6,-2076.75,113.3,-2190.05,
27,2025-07-03,2025-07-03,TRADED,,1124707.35,25532.4,25397.4,25550,65,3,195,0.2,995763.6,25650,25450,18.3,0.1,scheduled_exit,23.3,51.7,sl_2.00x,41.6,-1989.0,110.37,-2099.37,
28,2025-07-10,2025-07-10,TRADED,,1132090.25,25462.25,25348.15,25450,65,3,195,0.2,993027.75,25550,25350,19.85,0.1,scheduled_exit,12.6,26.5,sl_2.00x,32.45,1140.75,105.65,1035.1,
29,2025-07-17,2025-07-17,TRADED,,1139976.86,25201.85,25109.5,25200,65,3,195,0.2,982872.15,25300,25100,13.4,0.05,scheduled_exit,12.1,0.05,scheduled_exit,25.5,4953.0,101.44,4851.56,
30,2025-07-24,2025-07-24,TRADED,,1149393.44,25212.45,25051.9,25200,65,3,195,0.2,983285.55,25300,25100,11.75,0.05,scheduled_exit,9.65,25.65,sl_2.00x,21.4,-838.5,102.54,-941.04,
31,2025-07-31,2025-07-31,TRADED,,1155826.6,24702.7,24765.6,24700,65,3,195,0.2,963405.3,24800,24600,23.4,47.3,sl_2.00x,28.8,0.1,scheduled_exit,52.2,936.0,112.9,823.1,
32,2025-08-07,2025-08-07,TRADED,,1165895.26,24516.3,24626.65,24500,65,3,195,0.2,956135.7,24600,24400,24.2,0.3,scheduled_exit,17.05,36.2,sl_2.00x,41.25,926.25,108.94,817.31,
33,2025-08-14,2025-08-14,TRADED,,1173712.38,24624.3,24616.05,24600,65,3,195,0.2,960347.7,24700,24500,22.2,0.05,scheduled_exit,16.6,0.05,scheduled_exit,38.8,7546.5,105.11,7441.39,
34,2025-08-21,2025-08-21,TRADED,,1189502.45,25077.7,25076.95,25100,65,3,195,0.2,978030.3,25200,25000,9.3,0.05,scheduled_exit,17.0,0.1,scheduled_exit,26.3,5099.25,101.67,4997.58,
35,2025-08-28,2025-08-28,TRADED,,1199323.25,24575.5,24533.1,24600,65,3,195,0.2,958444.5,24700,24500,17.45,38.7,sl_2.00x,22.85,0.15,scheduled_exit,40.3,282.75,108.89,173.86,
36,2025-09-02,2025-09-02,TRADED,,1199497.11,24653.9,24575.0,24650,65,3,195,0.2,961502.1,24750,24550,12.4,26.2,sl_2.00x,11.5,27.3,sl_2.00x,23.9,-5772.0,105.63,-5877.63,
37,2025-09-09,2025-09-09,TRADED,,1191929.6,24857.0,24878.8,24850,65,3,195,0.2,969423.0,24950,24750,15.55,0.05,scheduled_exit,14.6,0.1,scheduled_exit,30.15,5850.0,102.73,5747.27,
38,2025-09-16,2025-09-16,TRADED,,1202584.98,25111.0,25254.45,25100,65,3,195,0.2,979329.0,25200,25000,12.1,25.5,sl_2.00x,10.05,0.05,scheduled_exit,22.15,-663.0,102.73,-765.73,
39,2025-09-23,2025-09-23,TRADED,,1201819.25,25235.85,25185.8,25250,65,3,195,0.2,984198.15,25350,25150,11.15,0.05,scheduled_exit,10.7,26.0,sl_2.00x,21.85,-819.0,102.69,-921.69,
40,2025-09-30,2025-09-30,TRADED,,1200897.56,24722.9,24633.6,24700,65,3,195,0.2,964193.1,24800,24600,27.9,0.05,scheduled_exit,12.6,27.25,sl_2.00x,40.5,2574.0,107.94,2466.06,
41,2025-10-07,2025-10-07,TRADED,,1208018.73,25083.6,25112.8,25100,65,3,195,0.2,978260.4,25200,25000,13.75,31.5,sl_2.00x,17.65,0.05,scheduled_exit,31.4,-29.25,105.79,-135.04,
42,2025-10-14,2025-10-14,TRADED,,1207883.69,25295.4,25123.35,25300,65,3,195,0.2,986520.6,25400,25200,15.9,0.05,scheduled_exit,15.35,32.85,sl_2.00x,31.25,-321.75,105.87,-427.62,
43,2025-10-20,2025-10-20,TRADED,,1207456.07,25913.45,25850.7,25900,65,3,195,0.2,1010624.55,26000,25800,27.55,0.05,scheduled_exit,14.5,29.2,sl_2.00x,42.05,2496.0,108.53,2387.47,
44,2025-10-28,2025-10-28,TRADED,,1203974.02,25957.8,25965.4,25950,65,3,195,0.2,1012354.2,26050,25850,40.3,0.15,scheduled_exit,26.4,53.5,sl_2.00x,66.7,2544.75,117.45,2427.3,
45,2025-11-04,2025-11-04,TRADED,,1214071.2,25754.55,25586.25,25750,65,3,195,0.2,1004427.45,25850,25650,24.7,0.1,scheduled_exit,20.35,41.9,sl_2.00x,45.05,594.75,110.47,484.28,
46,2025-11-11,2025-11-11,TRADED,,1218946.37,25526.6,25705.55,25550,65,3,195,0.2,995537.4,25650,25450,19.8,41.55,sl_2.00x,26.65,0.05,scheduled_exit,46.45,945.75,110.82,834.93,
47,2025-11-18,2025-11-18,TRADED,,1227947.16,25951.15,25894.7,25950,65,3,195,0.2,1012094.85,26050,25850,21.9,0.05,scheduled_exit,21.2,0.1,scheduled_exit,43.1,8375.25,106.31,8268.94,
48,2025-11-25,2025-11-25,TRADED,,1243851.87,25960.7,25860.3,25950,65,3,195,0.2,1012467.3,26050,25850,23.7,47.7,sl_2.00x,15.4,0.05,scheduled_exit,39.1,-1686.75,109.32,-1796.07,
49,2025-12-02,2025-12-02,TRADED,,1241890.48,26146.45,26057.0,26150,65,3,195,0.2,1019711.55,26250,26050,18.4,0.1,scheduled_exit,16.25,33.05,sl_2.00x,34.65,292.5,106.83,185.67,
50,2025-12-09,2025-12-09,TRADED,,1249143.11,25802.5,25841.75,25800,65,3,195,0.2,1006297.5,25900,25700,27.2,61.0,sl_2.00x,17.55,35.15,sl_2.00x,44.75,-10023.0,115.08,-10138.08,
51,2025-12-16,2025-12-16,TRADED,,1243539.3,25938.9,25851.35,25950,65,3,195,0.2,1011617.1,26050,25850,13.85,0.1,scheduled_exit,19.1,0.05,scheduled_exit,32.95,6396.0,103.5,6292.5,
52,2025-12-23,2025-12-23,TRADED,,1249831.8,26165.0,26165.95,26150,65,3,195,0.2,1020435.0,26250,26050,14.65,0.05,scheduled_exit,11.95,0.05,scheduled_exit,26.6,5167.5,101.75,5065.75,
53,2025-12-30,2025-12-30,TRADED,,1254897.55,25890.55,25970.55,25900,65,3,195,0.2,1009731.45,25950,25800,18.25,40.9,sl_2.00x,8.6,0.05,scheduled_exit,26.85,-2749.5,105.36,-2854.86,
