period,days,skipped_days,trades,skipped_rows,long_trades,short_trades,stop_exits,gap_stop_exits,end_of_data_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022-05,19,0,68,0,36,32,59,9,0,8,7,0,-62.77,-4080.05,-4.18,2022-05-31,290.54,18885.10,2022-05-09,-586.02,-38091.30,4,4,1179.63,76675.95
2022-06,22,0,103,0,45,58,96,7,0,7,13,0,-227.43,-14782.95,-11.37,2022-06-13,480.23,31214.95,2022-06-14,-294.49,-19141.85,3,4,603.66,39237.90
2022-07,21,0,61,0,28,33,54,7,0,9,9,0,1075.61,69914.65,59.76,2022-07-29,550.90,35808.50,2022-07-11,-124.82,-8113.30,2,5,363.16,23605.40
2022-08,20,0,85,0,42,43,84,1,0,7,9,0,395.61,25714.65,24.73,2022-08-23,310.61,20189.65,2022-08-03,-115.70,-7520.50,1,2,303.32,19715.80
2022-09,22,0,88,0,40,48,79,9,0,12,9,0,-149.85,-9740.25,-7.14,2022-09-26,405.45,26354.25,2022-09-14,-402.03,-26131.95,5,3,730.10,47456.50
2022-10,19,1,86,1,46,40,82,4,0,6,11,0,-906.84,-58944.60,-53.34,2022-10-18,176.56,11476.40,2022-10-10,-358.17,-23281.05,2,3,1044.10,67866.50
2022-11,21,0,97,0,52,45,89,8,0,8,12,0,449.18,29196.70,22.46,2022-11-01,236.56,15376.40,2022-11-17,-128.88,-8377.20,4,4,218.37,14194.05
2022-12,22,0,85,0,44,41,83,2,0,13,6,0,637.81,41457.65,33.57,2022-12-16,220.17,14311.05,2022-12-08,-121.52,-7898.80,5,4,408.39,26545.35
2023-01,21,0,117,0,53,64,109,8,0,7,11,0,-191.15,-12424.75,-10.62,2023-01-30,375.05,24378.25,2023-01-11,-182.43,-11857.95,3,3,555.74,36123.10
2023-02,20,0,108,0,58,50,103,5,0,7,11,0,60.97,3963.05,3.39,2023-02-27,157.28,10223.20,2023-02-24,-114.07,-7414.55,2,6,379.54,24670.10
2023-03,21,0,85,0,45,40,78,7,0,7,12,0,29.84,1939.60,1.57,2023-03-10,269.72,17531.80,2023-03-15,-167.91,-10914.15,2,4,559.64,36376.60
2023-04,17,0,80,0,45,35,78,2,0,5,9,0,35.26,2291.90,2.52,2023-04-03,269.14,17494.10,2023-04-11,-129.66,-8427.90,3,7,419.84,27289.60
2023-05,22,0,72,0,33,39,67,5,0,12,9,0,1182.78,76880.70,56.32,2023-05-02,360.19,23412.35,2023-05-30,-109.19,-7097.35,3,2,143.43,9322.95
2023-06,21,0,65,0,35,30,62,3,0,9,6,0,130.57,8487.05,8.70,2023-06-08,106.19,6902.35,2023-06-01,-103.30,-6714.50,4,3,288.99,18784.35
2023-07,21,0,113,0,59,54,107,6,0,6,14,0,233.48,15176.20,11.67,2023-07-03,595.28,38693.20,2023-07-05,-137.85,-8960.25,2,8,524.36,34083.40
2023-08,22,0,103,0,43,60,96,7,0,9,11,0,3.36,218.40,0.17,2023-08-02,194.80,12662.00,2023-08-29,-142.87,-9286.55,2,3,296.59,19278.35
2023-09,20,0,99,0,50,49,99,0,0,9,5,0,800.97,52063.05,57.21,2023-09-22,389.27,25302.55,2023-09-13,-77.59,-5043.35,3,2,102.09,6635.85
2023-10,20,0,74,0,37,37,69,5,0,9,8,0,836.79,54391.35,49.22,2023-10-27,610.50,39682.50,2023-10-17,-162.47,-10560.55,3,3,322.79,20981.35
2023-11,21,1,106,1,46,60,101,5,0,8,10,0,-478.61,-31109.65,-26.59,2023-11-03,151.04,9817.60,2023-11-15,-210.00,-13650.00,2,2,601.63,39105.95
2023-12,20,0,75,0,42,33,71,4,0,9,7,0,860.95,55961.75,53.81,2023-12-18,517.58,33642.70,2023-12-04,-346.10,-22496.50,3,4,346.10,22496.50
2024-01,22,0,82,0,47,35,78,4,0,10,8,0,1101.31,71585.15,61.18,2024-01-18,559.41,36361.65,2024-01-23,-173.45,-11274.25,5,3,247.86,16110.90
2024-02,21,0,108,0,55,53,105,3,0,7,13,0,-427.15,-27764.75,-21.36,2024-02-16,373.78,24295.70,2024-02-02,-325.26,-21141.90,3,3,793.11,51552.15
2024-03,19,1,82,1,46,36,72,10,0,6,11,0,-541.33,-35186.45,-31.84,2024-03-14,265.05,17228.25,2024-03-18,-204.40,-13286.00,2,3,672.63,43720.95
2024-04,20,0,82,0,44,38,76,6,0,6,11,0,171.43,11142.95,10.08,2024-04-16,467.61,30394.65,2024-04-01,-285.21,-18538.65,2,5,791.68,51459.20
2024-05,22,1,115,1,53,62,108,7,0,4,13,0,-361.95,-23526.75,-21.29,2024-05-30,367.73,23902.45,2024-05-03,-235.02,-15276.30,1,5,825.43,53652.95
2024-06,19,0,85,0,45,40,80,5,0,6,8,0,1453.58,94482.70,103.83,2024-06-06,639.01,41535.65,2024-06-13,-282.84,-18384.60,4,4,915.97,59538.05
2024-07,22,0,120,0,65,55,117,3,0,8,11,0,-655.12,-42582.80,-34.48,2024-07-29,415.07,26979.55,2024-07-24,-332.54,-21615.10,2,3,766.42,49817.30
2024-08,21,0,97,0,43,54,89,8,0,7,11,0,-517.79,-33656.35,-28.77,2024-08-06,486.03,31591.95,2024-08-02,-217.00,-14105.00,2,4,755.56,49111.40
2024-09,21,0,122,0,59,63,114,8,0,6,12,0,-408.67,-26563.55,-22.70,2024-09-13,350.68,22794.20,2024-09-19,-341.57,-22202.05,2,5,764.48,49691.20
2024-10,22,0,79,0,32,47,76,3,0,13,8,0,1012.75,65828.75,48.23,2024-10-07,286.50,18622.50,2024-10-03,-359.70,-23380.50,4,2,359.70,23380.50
2024-11,19,1,69,1,29,40,65,4,0,8,7,0,1492.12,96987.80,99.47,2024-11-25,765.29,49743.85,2024-11-26,-214.49,-13941.85,3,2,298.59,19408.35
2024-12,21,0,103,0,40,63,99,4,0,5,13,0,-72.83,-4733.95,-4.05,2024-12-18,255.61,16614.65,2024-12-26,-157.73,-10252.45,1,6,432.00,28080.00
2025-01,23,0,106,0,54,52,102,4,0,8,11,0,256.52,16673.80,13.50,2025-01-03,290.58,18887.70,2025-01-24,-155.79,-10126.35,2,3,460.07,29904.55
2025-02,20,0,93,0,45,48,89,4,0,8,9,0,388.48,25251.20,22.85,2025-02-05,305.07,19829.55,2025-02-17,-158.60,-10309.00,3,4,398.76,25919.40
2025-03,19,0,87,0,46,41,86,1,0,9,6,0,904.39,58785.35,60.29,2025-03-19,409.14,26594.10,2025-03-04,-323.00,-20995.00,3,1,323.00,20995.00
2025-04,19,0,87,0,53,34,82,5,0,8,7,0,2227.38,144779.70,148.49,2025-04-07,1233.06,80148.90,2025-04-23,-406.85,-26445.25,4,2,624.56,40596.40
2025-05,21,0,126,0,51,75,121,5,0,5,13,0,-68.10,-4426.50,-3.78,2025-05-13,471.00,30615.00,2025-05-02,-293.52,-19078.80,2,5,536.37,34864.05
2025-06,21,0,78,0,37,41,74,4,0,8,10,0,716.06,46543.90,39.78,2025-06-30,394.79,25661.35,2025-06-03,-175.89,-11432.85,2,4,210.69,13694.85
2025-07,23,0,106,0,57,49,100,6,0,11,10,0,368.56,23956.40,17.55,2025-07-28,273.26,17761.90,2025-07-08,-127.33,-8276.45,5,3,340.91,22159.15
2025-08,19,0,82,0,43,39,78,4,0,6,10,0,-260.55,-16935.75,-16.28,2025-08-29,204.14,13269.10,2025-08-18,-366.29,-23808.85,2,5,652.83,42433.95
2025-09,22,0,111,0,53,58,107,4,0,9,11,0,180.25,11716.25,9.01,2025-09-29,185.28,12043.20,2025-09-24,-166.13,-10798.45,3,3,272.94,17741.10
2025-10,21,1,66,1,39,27,62,4,0,9,8,0,824.70,53605.50,48.51,2025-10-17,396.39,25765.35,2025-10-28,-120.62,-7840.30,2,2,134.50,8742.50
2025-11,19,0,74,0,34,40,68,6,0,11,6,0,680.70,44245.50,40.04,2025-11-12,302.32,19650.80,2025-11-24,-116.27,-7557.55,3,1,116.27,7557.55
2025-12,22,0,79,0,36,43,71,8,0,8,9,0,-152.52,-9913.80,-8.97,2025-12-23,153.35,9967.75,2025-12-01,-171.39,-11140.35,2,4,404.71,26306.15
2026-01,20,0,96,0,49,47,94,2,0,8,11,0,36.54,2375.10,1.92,2026-01-12,448.49,29151.85,2026-01-30,-209.04,-13587.60,2,3,618.43,40197.95
2026-02,21,0,102,0,57,45,95,7,0,10,8,0,665.53,43259.45,36.97,2026-02-03,760.53,49434.45,2026-02-23,-353.75,-22993.75,2,2,498.48,32401.20
2026-03,19,0,46,0,21,25,44,2,0,10,3,0,2578.00,167570.00,198.31,2026-03-09,667.60,43394.00,2026-03-04,-766.77,-49840.05,7,1,918.65,59712.25
2026-04,20,0,45,0,26,19,37,8,0,9,6,0,1910.73,124197.45,127.38,2026-04-09,950.78,61800.70,2026-04-13,-634.06,-41213.90,4,3,663.68,43139.20
2026-05,2,0,8,0,5,3,7,0,1,2,0,0,61.92,4024.80,30.96,2026-05-05,32.82,2133.30,2026-05-04,29.10,1891.50,2,0,0.00,0.00
